,bluetooth_avg_wk_1,bluetooth_avg_wk_2,bluetooth_avg_wk_3,bluetooth_avg_wk_4,bluetooth_avg_wk_5,bluetooth_avg_wk_6,bluetooth_avg_wk_7,bluetooth_avg_wk_8,bluetooth_avg_wk_9,bluetooth_avg_wk_10
u17,6.857142857142857,4.285714285714286,9.571428571428571,8.428571428571429,6.428571428571429,14.857142857142858,10.285714285714286,10.0,1.5714285714285714,0.5714285714285714
u18,0.42857142857142855,4.857142857142857,4.857142857142857,4.428571428571429,0.5714285714285714,9.285714285714286,4.0,0.14285714285714285,6.142857142857143,9.285714285714286
u19,4.571428571428571,4.571428571428571,7.142857142857143,11.714285714285714,12.428571428571429,14.0,11.0,14.285714285714286,13.142857142857142,4.857142857142857
u20,4.0,6.714285714285714,2.5714285714285716,5.571428571428571,5.142857142857143,4.142857142857143,0.8571428571428571,1.1428571428571428,,
u22,1.8571428571428572,5.142857142857143,5.714285714285714,5.142857142857143,1.4285714285714286,0.5714285714285714,1.1428571428571428,1.5714285714285714,9.571428571428571,1.5714285714285714
u23,2.0,2.142857142857143,5.285714285714286,4.428571428571429,5.285714285714286,5.285714285714286,3.7142857142857144,1.0,1.2857142857142858,
u24,1.0,3.2857142857142856,3.142857142857143,4.714285714285714,0.8571428571428571,,,,,
u25,4.0,4.714285714285714,1.5714285714285714,1.7142857142857142,0.5714285714285714,1.1428571428571428,2.2857142857142856,5.285714285714286,14.857142857142858,
u27,13.0,8.142857142857142,7.428571428571429,4.428571428571429,1.4285714285714286,6.428571428571429,7.142857142857143,1.8571428571428572,15.0,1.1428571428571428
u30,10.0,7.285714285714286,15.0,12.0,16.714285714285715,15.0,13.285714285714286,5.0,32.0,
u31,4.0,5.428571428571429,10.285714285714286,0.14285714285714285,10.142857142857142,9.428571428571429,8.285714285714286,1.2857142857142858,3.0,
u32,4.571428571428571,5.0,8.428571428571429,9.0,6.142857142857143,9.857142857142858,6.285714285714286,20.285714285714285,10.571428571428571,
u33,1.2857142857142858,1.0,1.0,1.8571428571428572,1.2857142857142858,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.2857142857142857,
u34,2.5714285714285716,0.8571428571428571,7.285714285714286,6.428571428571429,8.0,2.7142857142857144,1.4285714285714286,2.5714285714285716,,
u35,2.2857142857142856,2.2857142857142856,2.0,6.714285714285714,6.428571428571429,5.428571428571429,1.0,1.0,5.714285714285714,2.0
u36,3.0,3.4285714285714284,4.428571428571429,2.857142857142857,8.0,8.285714285714286,4.428571428571429,0.8571428571428571,7.571428571428571,13.857142857142858
u39,0.7142857142857143,0.7142857142857143,1.4285714285714286,0.14285714285714285,1.0,,,,,
u41,5.142857142857143,0.14285714285714285,7.428571428571429,11.714285714285714,5.142857142857143,3.2857142857142856,4.428571428571429,8.142857142857142,25.857142857142858,0.14285714285714285
u42,2.857142857142857,3.4285714285714284,3.2857142857142856,3.857142857142857,4.857142857142857,3.0,8.142857142857142,2.2857142857142856,,
u43,3.4285714285714284,4.571428571428571,3.5714285714285716,2.857142857142857,5.142857142857143,6.142857142857143,4.142857142857143,2.857142857142857,9.0,
u44,6.571428571428571,5.714285714285714,7.0,2.5714285714285716,4.0,4.428571428571429,5.857142857142857,5.142857142857143,1.7142857142857142,1.0
u45,2.2857142857142856,1.5714285714285714,5.571428571428571,7.714285714285714,6.142857142857143,6.571428571428571,0.14285714285714285,3.0,4.0,
u46,15.571428571428571,7.0,7.285714285714286,11.571428571428571,0.7142857142857143,8.571428571428571,4.0,10.285714285714286,17.428571428571427,
u47,1.5714285714285714,1.5714285714285714,5.285714285714286,2.2857142857142856,5.714285714285714,5.428571428571429,2.857142857142857,6.142857142857143,8.142857142857142,
u49,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.2857142857142857,20.714285714285715,28.428571428571427,44.714285714285715,24.0
u50,4.428571428571429,4.0,9.857142857142858,3.857142857142857,3.142857142857143,,8.0,,0.5714285714285714,1.7142857142857142
u51,5.571428571428571,6.571428571428571,8.285714285714286,9.142857142857142,3.4285714285714284,4.142857142857143,7.571428571428571,7.857142857142857,8.857142857142858,3.142857142857143
u52,2.0,1.8571428571428572,2.2857142857142856,4.285714285714286,3.2857142857142856,2.4285714285714284,3.857142857142857,24.285714285714285,22.714285714285715,20.0
u53,5.571428571428571,8.285714285714286,6.0,2.7142857142857144,2.5714285714285716,9.428571428571429,1.1428571428571428,9.0,0.8571428571428571,0.2857142857142857
u54,14.428571428571429,2.0,18.428571428571427,7.285714285714286,0.2857142857142857,8.142857142857142,0.8571428571428571,,9.428571428571429,0.7142857142857143
u56,1.8571428571428572,1.7142857142857142,1.7142857142857142,2.7142857142857144,3.0,1.2857142857142858,1.2857142857142858,1.4285714285714286,3.4285714285714284,1.0
u57,4.714285714285714,5.142857142857143,5.142857142857143,4.428571428571429,8.857142857142858,7.285714285714286,8.285714285714286,8.0,19.714285714285715,15.714285714285714
u58,1.7142857142857142,0.8571428571428571,0.2857142857142857,1.0,1.8571428571428572,2.4285714285714284,6.714285714285714,4.857142857142857,5.571428571428571,
u59,0.2857142857142857,4.142857142857143,7.428571428571429,13.857142857142858,11.714285714285714,9.428571428571429,1.8571428571428572,3.4285714285714284,6.714285714285714,3.7142857142857144
