uid,sleep_max_wk_1,sleep_max_wk_10,sleep_max_wk_2,sleep_max_wk_3,sleep_max_wk_4,sleep_max_wk_5,sleep_max_wk_6,sleep_max_wk_7,sleep_max_wk_8,sleep_max_wk_9,sleep_mean_wk_1,sleep_mean_wk_10,sleep_mean_wk_2,sleep_mean_wk_3,sleep_mean_wk_4,sleep_mean_wk_5,sleep_mean_wk_6,sleep_mean_wk_7,sleep_mean_wk_8,sleep_mean_wk_9,sleep_med_wk_1,sleep_med_wk_10,sleep_med_wk_2,sleep_med_wk_3,sleep_med_wk_4,sleep_med_wk_5,sleep_med_wk_6,sleep_med_wk_7,sleep_med_wk_8,sleep_med_wk_9,sleep_min_wk_1,sleep_min_wk_10,sleep_min_wk_2,sleep_min_wk_3,sleep_min_wk_4,sleep_min_wk_5,sleep_min_wk_6,sleep_min_wk_7,sleep_min_wk_8,sleep_min_wk_9
u12,15.699358304280377,12.332901910726841,13.585011305491475,17.774460253640864,17.42161707308833,18.33339245405785,14.67004068970527,15.746538838242849,16.304044603880378,18.69088387668769,68.75501419713602,32.179234725464234,77.90723298960629,85.93873701659584,96.02417426664375,87.56737102930106,78.40040594178224,70.9726186737352,85.45281698187031,83.36228351981737,11.4460701687321,5.008622318661431,11.921796207972612,11.18448925446148,12.582087413102602,13.16302921466021,10.988677997905356,10.890375583308154,12.222383412295684,11.290248596420225,0,0,8.54230417329261,8.871258753732885,10.861490915361827,5.4135447382664,6.247258155454661,2.0727274072503414,9.234285374488113,8.90179743120043
u13,7.370057216438356,7.155144560965358,17.777314318509134,13.99915230341045,7.344787590381422,13.672509537228871,8.79703557903219,8.665484221858462,14.979360704757534,12.470426180107562,19.703240355107745,11.64470033141196,76.40109513670977,65.51324175822768,30.901978465473068,51.821683380586165,24.421984585063576,21.010733238698727,61.02091883982681,46.03144031137835,1.083060276568935,0.2216965379494008,10.901250575341104,9.274111787065815,5.098135824764615,7.327691445475366,3.3520685906848278,2.8586060278363314,7.870270709044218,7.856112985813961,0,0,3.7910915812063726,1.4940113495316472,0.6977784572656178,0.6815737564928765,0,0,6.392146077192985,0
u14,13.153990056604334,1.851214711010428,12.79066954544741,11.064541810059485,11.086512843455836,11.78540861091011,15.954257299227473,11.531223106085392,8.421784542136097,5.601692928534285,66.10261863265944,1.851214711010428,58.952252393968806,53.33071276349468,63.757499102758025,46.29628832600228,41.55622015941741,41.53274547316961,21.69781559322642,7.139018818162082,9.894884833216121,0,8.384650181466851,7.777377214079691,9.67223513853151,6.273496910238455,6.6328280264869806,6.380763931557701,1.837848861573278,0,0,0,1.3169817740185765,1.0615792815193261,5.179968487880156,1.7939205163244014,0,0,0,0
u15,13.93323623340025,1.3784674279452733,15.745809788152673,17.347409419657424,3.0038019744233173,13.080550671221049,2.907022222116076,14.143322834481014,1.454289071461519,1.2908496485293117,32.48799418340022,2.6814727505385756,38.97567790918698,37.075447562429794,3.9796580159624506,13.719402834825079,4.323172222116076,25.249428476170134,1.838266351461519,1.2908496485293117,2.8949597031816667,0,3.633501012349301,3.7281207416455238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u16,13.385619417913537,16.866632771728785,9.959027403579574,14.239794554186002,11.230230737338369,9.516889298208604,15.626587044522779,17.20448346855043,16.515100332018235,15.165952480481456,55.99855091499772,20.100004383211335,30.688290346115224,53.005864604840326,59.60955938190126,35.56097171210094,74.06931052642017,61.34464397675369,43.688511375709396,78.4759488207919,10.361352551814786,0.39613580574127527,3.96106864627199,5.902395518946644,9.566697112179984,3.6804917696633996,13.136510535186163,9.458071621621622,4.720704628058892,9.869146545213308,0,0,1.9409522405953705,1.968517447765727,1.8711565135321735,1.1377071866598596,2.1026154595973607,1.3868822591859045,0.9766737704918033,6.872522778218392
u17,15.970457422841559,8.109278725533898,20.069512872911695,17.860506016238862,16.955257751297086,16.467257691438355,17.151996258801773,17.435325015110074,20.456059060869,8.60834334902973,74.61515945024621,20.472746851516924,80.20767997902732,76.77076496852474,63.942036166556996,81.93838794046806,71.19804119272045,61.85042491487851,58.676824602427786,40.376952634533,13.406521946948216,2.3602499999999997,10.592903498483153,9.910872866342826,9.15744302318732,11.164357861294723,11.476506904693133,10.529803198725554,6.5976843176298186,5.580880916244746,0,0,5.62891819545597,7.283609319587423,0.7498162024721395,7.892720470393775,0.46719999999999995,0,0,2.93989094961578
u18,17.40816954978443,2.3178571368973624,10.778763696854945,18.773069610602242,16.069730100203788,22.6584,7.12845,5.869071649030252,9.784584111491162,10.81793901291935,74.25120847510445,2.3178571368973624,42.72601085062112,99.86671700532142,68.92399456786427,74.24700884142055,16.68477809339527,5.869071649030252,21.452350639314826,34.98673026182034,12.417638324060134,0,6.449340010045154,17.18320182021164,8.807852848101266,7.4935199258410785,0.9440999999999999,0,0.7197026069472436,5.171878080394723,0,0,1.8110503891751017,3.0799718884938216,5.209632555257941,2.6368008730597636,0,0,0,0
u19,9.708454301879122,9.6293046673,12.610973603064098,12.655651970603849,16.584,16.92010972972973,21.37234248455472,17.044702826465485,18.645151656200692,13.242426428804679,35.80368336315448,18.687121343965206,66.01633338842353,64.25995051810143,64.79895270295638,80.19110571511125,82.74439612847583,83.2962586338636,91.71801897075213,66.63027956657264,8.301145624944315,1.8530586134489857,9.510321377170046,10.057625782383642,8.878759453522886,10.766465134028294,12.7441,10.382528878582947,12.46807541706491,9.128518706733786,0,0,4.927204566210046,3.33085683433446,3.30435,6.037979217223219,1.4855501925889854,6.803084575752471,9.366199699182104,6.354224060361078
u20,17.42070240564436,0,17.72936284050419,12.138379658715138,10.808129722811577,16.927419551738083,9.03266148567297,2.9629016606127476,18.39427860689355,0,33.894252578029274,0,55.530164035867834,31.056813924660307,21.579547259442315,54.44536755761056,14.108501801053604,4.453366257649711,39.56120474191768,0,0.9129381700674175,0,8.611871187507804,3.30435,0,6.145138858371793,0,0,5.862783173840915,0,0,0,0,0,0,3.682510659426747,0,0,0,0
u22,18.688582659951386,10.565379586727508,16.665680639552665,18.067224997165976,17.455983401530823,18.3401624552193,11.708907298429553,22.128512096774195,9.617472115384615,13.584670884951482,91.0442633612453,17.39902002913474,66.15428262824886,106.12030555966432,102.7187465896581,41.23259274241718,18.80617409876683,101.52144557886389,30.678196504483246,50.20055739998611,16.118732084088137,0,10.398707847369826,16.222985034470838,15.435880158244522,5.606399999999999,0,14.333034676969215,3.076786259565921,7.611881037296474,0,0,4.712566270803807,9.101553928751004,10.721457342792545,0,0,7.2186266160206465,0,0
u23,13.753647515300363,0,11.835948828739447,16.539324617807832,16.182229500063134,13.221349445568892,10.967595255077022,13.11426035625637,12.498343741810011,14.768502287900557,58.1535485329524,0,68.10184145669953,71.06401975441601,83.02028600866458,77.10096148286338,50.44455791478756,67.08533860938226,55.59403858488281,25.527740668946482,8.755747685842886,0,9.144449085756273,8.626493017401655,13.367265824883434,11.067184431110615,6.744567760732908,11.282845773670104,8.154230040240089,0,0,0,8.392105257028469,7.278809108434919,5.193296161015399,7.634530178351739,3.7484810762936744,3.156865795092651,2.8533246392538176,0
u24,14.196260915277119,0,16.170966515014893,10.884260330238366,13.016025652439755,9.865705527621296,0,0,0,0,48.12765743795442,0,51.19452471993225,39.04550075197582,47.49863203782053,42.762316093955285,0,0,0,0,7.0467172502170925,0,7.679336022621462,4.339268920814068,5.939972867643016,8.171020919910342,0,0,0,0,0,0,0,2.278661560343751,2.404134125124342,0,0,0,0,0
u25,11.949368889508099,7.444147492799512,7.235130094138772,14.393150504878037,14.639283591996213,6.012587658944556,0.6784126983360093,0,0,2.235877429010154,45.04796661369211,9.736569031320021,25.088353409558522,36.96483825043694,47.86367815206153,15.352722276966068,0.6784126983360093,0,0,4.54323204600128,5.78165294597547,0,4.196680916397073,4.144081695157438,3.7763999999999998,0,0,0,0,0,0,0,0,2.043962948515729,1.7149093589190658,0,0,0,0,0
u27,14.741746887135866,8.3482439436253,11.300936384530356,14.419706042591518,13.277350462058248,9.702146008393587,13.757964392726041,10.230000846368602,8.44782839859166,9.996996071346503,32.43217662373362,14.15503542961426,50.410925591122016,44.43416792539414,57.415877070530044,23.608143785442838,42.77182834635213,49.316218910083954,33.597175394732346,27.535772424340443,1.6257495291334396,1.2512207429944802,8.066867816847166,5.542794213786655,7.081967950674338,1.9664761506734814,4.70448509364449,6.86641455899717,3.6962216056407513,1.8881999999999999,0,0,1.5443857711922364,0.4492539377995241,3.162102123188739,0,1.7219682165471735,4.213608574363522,1.8918929169061462,0
u30,10.712780146428038,15.867822560075503,15.072845925625513,15.085654729612758,14.533058639638904,14.353918887864365,14.357672039042656,12.782445485483427,9.662900639531063,12.541346362470408,46.43261390432688,36.42799101675424,83.18319130109028,78.86177301893869,68.75305160693961,47.004539311490475,30.085987618072945,57.02783490606163,22.247567551392407,33.41243225423376,9.453048752907423,2.8101154362000242,12.246632688487374,10.987908698150072,10.487942053697275,4.629221247458814,2.5837073641634105,9.679661892385614,0,3.211772803661327,0,0,6.096586327923496,8.32167943057615,2.7898978418198643,1.5483527441119513,0,0,0,0
