,conversation_hours_wk_1,conversation_hours_wk_2,conversation_hours_wk_3,conversation_hours_wk_4,conversation_hours_wk_5,conversation_hours_wk_6,conversation_hours_wk_7,conversation_hours_wk_8,conversation_hours_wk_9,conversation_hours_wk_10,conversation_freq_wk_1,conversation_freq_wk_2,conversation_freq_wk_3,conversation_freq_wk_4,conversation_freq_wk_5,conversation_freq_wk_6,conversation_freq_wk_7,conversation_freq_wk_8,conversation_freq_wk_9,conversation_freq_wk_10
u30,61.232500000000016,58.17305555555556,68.37583333333333,64.99194444444444,65.45444444444443,47.036666666666655,47.047499999999985,33.68722222222223,71.99166666666673,18.05472222222222,261,224,230.0,219,284.0,181.0,196.0,133.0,290.0,89.0
u31,44.78861111111113,45.34194444444448,55.67305555555558,50.27083333333338,31.185277777777806,24.035277777777793,39.48861111111113,24.913333333333348,12.707777777777777,0.43944444444444447,360,339,417.0,305,239.0,210.0,329.0,268.0,87.0,1.0
u32,60.01888888888891,83.37416666666674,62.844166666666744,47.01861111111109,49.97111111111109,15.531111111111116,40.03361111111115,30.420277777777777,79.89249999999998,8.158611111111112,250,265,335.0,176,213.0,78.0,194.0,139.0,284.0,21.0
u33,25.051388888888898,56.63500000000003,34.09777777777776,36.78277777777779,42.865833333333335,39.28638888888891,44.37444444444444,7.254444444444444,,,78,133,120.0,96,165.0,134.0,153.0,23.0,,
u34,46.766111111111115,67.48916666666666,19.586944444444455,26.08722222222225,22.55694444444446,3.8794444444444447,25.554444444444467,4.724166666666665,,,191,220,127.0,167,167.0,19.0,203.0,45.0,,
u35,29.32555555555556,31.877777777777784,23.705000000000013,21.442500000000003,20.134444444444444,23.05305555555558,17.664444444444452,17.181111111111118,20.95388888888889,7.610000000000001,156,184,142.0,176,147.0,165.0,135.0,120.0,130.0,72.0
u36,30.594722222222252,12.465833333333338,23.99416666666667,42.294722222222234,20.733888888888888,26.377500000000005,21.282222222222245,18.912222222222233,11.85888888888889,14.068611111111116,237,147,236.0,239,230.0,179.0,210.0,187.0,139.0,110.0
u39,6.440833333333331,4.518888888888889,9.415277777777781,9.855000000000002,0.6661111111111111,,,,,,91,53,156.0,121,14.0,,,,,
u41,27.69861111111112,20.79027777777777,30.991111111111103,39.03861111111113,28.095277777777785,4.518055555555556,15.773333333333342,16.14916666666667,35.80750000000001,5.197499999999999,167,111,141.0,182,166.0,35.0,115.0,115.0,147.0,34.0
u42,18.82055555555556,42.21833333333334,30.53055555555554,18.583333333333336,31.57527777777778,19.379722222222235,19.238333333333333,11.272777777777776,,,101,210,167.0,106,190.0,144.0,131.0,98.0,,
u43,64.78916666666669,37.75694444444447,59.01666666666672,31.749166666666692,22.620833333333355,26.46472222222222,27.977222222222235,25.664444444444456,16.817500000000006,,259,220,271.0,202,151.0,162.0,163.0,170.0,133.0,
u44,19.87222222222223,24.953333333333365,19.249444444444457,22.7388888888889,24.64361111111112,12.180555555555555,17.314444444444455,23.45916666666667,13.435833333333333,,183,170,148.0,192,172.0,79.0,162.0,157.0,138.0,
u45,64.82,45.86777777777777,16.231666666666662,19.395,23.813333333333343,22.431944444444444,14.213055555555561,28.63111111111112,8.796666666666667,,161,201,114.0,148,151.0,155.0,88.0,179.0,62.0,
u46,66.82805555555554,52.69027777777779,44.8188888888889,42.54250000000001,58.76277777777783,59.49472222222226,50.81916666666668,23.51083333333335,,,301,280,215.0,169,300.0,268.0,274.0,100.0,,
u47,9.568055555555555,3.9369444444444426,12.068333333333337,13.153611111111125,7.174166666666667,4.226388888888887,2.456666666666666,16.59527777777778,31.150555555555588,,75,55,126.0,143,73.0,47.0,29.0,98.0,256.0,
u49,24.342222222222208,16.7,14.057777777777778,18.86416666666666,7.100277777777782,,27.81055555555556,52.63000000000002,63.43055555555564,17.719722222222227,160,153,140.0,149,55.0,,166.0,320.0,379.0,140.0
u50,24.493055555555568,20.051111111111123,19.99611111111113,13.178888888888897,4.474166666666665,,17.977777777777792,,1.2630555555555556,4.749166666666666,190,186,193.0,133,51.0,,145.0,,14.0,15.0
u51,36.35833333333334,22.60055555555556,22.688888888888883,21.947222222222226,14.121944444444448,23.809166666666666,23.868888888888907,28.238611111111133,35.17444444444445,14.728333333333333,263,197,223.0,197,155.0,156.0,244.0,160.0,225.0,116.0
u52,21.477777777777785,14.649444444444448,15.87805555555556,10.90944444444445,8.750277777777788,6.234722222222224,5.426944444444444,8.236944444444449,7.629722222222228,0.4013888888888889,138,88,110.0,69,94.0,65.0,56.0,70.0,79.0,9.0
u53,45.18972222222227,74.70416666666664,22.309722222222234,31.059166666666673,31.4525,28.088611111111135,31.74277777777781,22.238611111111137,18.970000000000013,4.924444444444446,181,230,156.0,222,187.0,216.0,261.0,200.0,120.0,64.0
u54,54.8113888888889,45.90583333333332,17.965000000000003,29.25777777777779,45.908333333333374,29.688055555555582,5.009722222222223,,10.056111111111113,5.291111111111111,221,130,108.0,214,300.0,193.0,32.0,,45.0,26.0
u56,16.039166666666667,28.370555555555555,27.357222222222234,29.94527777777779,24.57555555555555,9.703055555555556,8.717222222222219,18.846388888888896,22.82194444444446,16.695833333333336,116,173,182.0,183,191.0,97.0,48.0,143.0,187.0,104.0
u57,46.71666666666668,29.581666666666663,49.58611111111114,46.01222222222225,42.16000000000003,33.846944444444446,43.423611111111136,45.60305555555559,50.76000000000005,20.479444444444454,172,188,267.0,202,244.0,225.0,256.0,219.0,365.0,111.0
u58,51.27250000000005,38.17027777777777,43.93194444444441,33.7263888888889,,12.99833333333334,46.610833333333325,42.80138888888889,52.69055555555555,11.14277777777778,160,181,212.0,132,,89.0,178.0,213.0,212.0,40.0
u59,44.709999999999994,49.45444444444452,36.246111111111134,51.582777777777814,55.69333333333339,50.914444444444534,38.99027777777785,49.77472222222229,41.81500000000005,27.378055555555573,203,309,398.0,452,516.0,390.0,442.0,521.0,486.0,368.0
