,flourishing_scale_raw_class_post,flourishing_scale_raw_post,panas_neg_raw_class_post,panas_neg_raw_post,panas_pos_raw_class_post,panas_pos_raw_post,panas_pos_imp_class_post,panas_pos_imp_post
conversation_hours_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_hours_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_hours_wk_5,0.0,0.0,0.0,0.0,0.0022879198133671135,0.0,0.0016314404348183552,0.0
conversation_hours_wk_6,0.0,0.0,0.0,0.0,0.0019287150418870185,0.0,0.0024911920985449384,0.0
conversation_hours_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_hours_wk_8,0.01927658828775749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_hours_wk_9,0.0,0.0,0.0,0.0002485954225768778,0.0,0.0,0.00024887219312952607,0.0
conversation_hours_wk_10,0.0,0.0,0.0,0.0,0.003182575952712194,0.0,0.003754784462303226,0.0
conversation_freq_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646920328102916e-05
conversation_freq_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_freq_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_freq_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_freq_wk_5,0.0,0.0,0.0024604112430669997,0.0,5.952112643848028e-05,0.0,0.0,0.0
conversation_freq_wk_6,0.0,0.0,0.0,0.0,0.0006361824304102975,0.0,0.0006820419073990147,0.0
conversation_freq_wk_7,0.0,0.0,0.0,0.0,0.0001268634143238526,0.0,5.176484508887522e-05,0.0
conversation_freq_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,7.808731456913574e-05,0.0
conversation_freq_wk_9,0.0,0.0,0.0,0.0,0.0006298255609469687,0.0,0.0007342638309875001,-2.3017552395106243e-05
conversation_freq_wk_10,0.0,0.0,0.0,0.0,0.0006610733528308514,0.0,0.0006884853255084734,0.0
speed_mean_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_mean_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_mean_wk_3,0.0,0.0,0.0,0.0,-0.09313712007064805,0.0,-0.1951422347160316,0.0
speed_mean_wk_4,0.0,0.0,0.0,0.0,0.10549802271796788,0.0,0.08190253991798488,0.0
speed_mean_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_mean_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_mean_wk_7,0.0,0.0,0.0,-0.016223588418748592,-0.05636292887327213,0.0,0.0,0.0
speed_mean_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_mean_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_mean_wk_10,0.0,0.0,0.0,0.0,1.262165006597106,0.0,1.1622622846718345,0.0
speed_max_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_max_wk_2,0.0,0.0,-0.06569873370951947,0.0016222744883077958,0.0,0.0,0.0,0.0
speed_max_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_max_wk_4,0.0,0.0,0.0,0.0,0.02126825140235243,0.0,0.01973213295014645,0.0
speed_max_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_max_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_max_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_max_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_max_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_max_wk_10,0.0,0.0,0.0,0.0,0.004590100270759154,0.0,0.004179271324243733,0.0
speed_sd_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_sd_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_sd_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_sd_wk_4,0.0,0.0,0.0,0.0,0.10739041569331798,0.0,0.09877737490898825,0.0
speed_sd_wk_5,0.0,0.0,0.0,-0.001971380708798776,0.0,0.0,0.0,0.0
speed_sd_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_sd_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_sd_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_sd_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_sd_wk_10,0.0,0.0,0.0,0.0,0.07935104970790073,0.0,0.07108033794665929,0.0
travelstate_time_stationary_wk_1,0.0,0.0,0.0,0.0,-6.040136832247199e-05,0.0,-7.06549002136026e-05,0.0
travelstate_time_stationary_wk_2,0.0,0.0,0.0,0.0,-3.252800801145975e-05,0.0,-3.270194588535911e-05,0.0
