,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
3677,103,80.4729313982564,79.09721364242556,No Imputation,0.95,median,wk_9_10,linear,0.01,3,0.01
2828,104,80.4729313982564,79.09721364242556,No Imputation,0.95,median,wk_9_10,linear,0.01,5,0.01
6030,105,80.63073199360602,92.56861976861742,No Imputation,0.6,mean,all,rbf,0.01,5,10
6641,106,80.63073199360602,92.56861976861742,No Imputation,0.6,mean,all,rbf,0.01,4,10
6356,107,80.63073199360602,92.56861976861742,KNN Imputation,0.6,mean,all,rbf,0.01,4,10
9029,108,80.63073199360602,92.56861976861742,KNN Imputation,0.6,mean,all,rbf,0.01,6,10
9569,109,80.63073199360602,92.56861976861742,KNN Imputation,0.6,mean,all,rbf,0.01,3,10
323,110,80.63073199360602,92.56861976861742,No Imputation,0.6,mean,all,rbf,0.01,3,10
2478,111,80.63073199360602,92.56861976861742,KNN Imputation,0.6,mean,all,rbf,0.01,5,10
4255,112,80.8330474451925,94.63160767484382,No Imputation,0.6,median,all,rbf,0.01,6,10
1202,113,80.8330474451925,94.63160767484382,KNN Imputation,0.6,median,all,rbf,0.01,4,10
3360,114,81.08016637638127,80.55786622660415,No Imputation,0.7,most_frequent,wk_10,rbf,0.01,6,10
6792,115,81.08016637638127,80.55786622660415,KNN Imputation,0.7,most_frequent,wk_10,rbf,0.01,4,10
6954,116,81.08016637638127,80.55786622660415,KNN Imputation,0.7,most_frequent,wk_10,rbf,0.01,2,10
1678,117,81.08016637638127,80.55786622660415,No Imputation,0.7,most_frequent,wk_10,rbf,0.01,2,10
6078,118,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,100,5,0.01
1069,119,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,10,4,0.01
9948,120,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,1,2,0.01
