,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
9986,7827,-115939067748.60274,347817105820.5541,0.6,mean,wk_9_10,poly,100,2,1000
7573,7830,-123195985732.18022,369587955576.7561,0.6,mean,all,poly,0.01,4,0.01
7337,7831,-138720766327.12186,416162297734.0931,0.95,mean,wk_9_10,poly,10,3,10
8763,7832,-138723154249.28552,416169461500.6032,0.95,mean,wk_9_10,poly,100,3,1
5436,7832,-138723154249.28552,416169461500.6032,0.95,mean,wk_9_10,poly,100,3,10
712,7834,-138731938119.14334,416195813110.18256,0.95,mean,wk_9_10,poly,0.1,3,1000
4658,7834,-138731938119.14334,416195813110.18256,0.95,mean,wk_9_10,poly,0.1,3,100
3222,7834,-138731938119.14334,416195813110.18256,0.95,mean,wk_9_10,poly,0.1,3,10
2795,7837,-138733053613.2884,416199159592.59454,0.95,mean,wk_9_10,poly,1,3,100
3524,7837,-138733053613.2884,416199159592.59454,0.95,mean,wk_9_10,poly,1,3,10
2108,7839,-139421327437.34494,418263981345.1066,0.8,most_frequent,wk_10,poly,0.01,3,1000
303,7840,-145438834137.7244,436316502049.6375,0.95,median,wk_9_10,poly,0.01,3,100
6496,7841,-146975930315.16208,440927790002.0048,0.6,median,wk_10,poly,0.01,3,1000
8898,7842,-147457233541.049,442371661208.6118,0.9,mean,wk_10,poly,100,3,1000
3283,7843,-147463946214.6231,442391800032.0754,0.9,mean,wk_10,poly,1,3,1000
4647,7844,-147478109988.44745,442434291355.4548,0.9,mean,wk_10,poly,10,3,1000
5531,7845,-147478125216.91928,442434337040.8777,0.9,mean,wk_10,poly,10,3,100
9249,7846,-147478127023.98398,442434342462.11584,0.9,mean,wk_10,poly,10,3,10
7619,7847,-147478127202.0479,442434342996.2033,0.9,mean,wk_10,poly,10,3,1
5010,7848,-147478127219.06293,442434343047.2896,0.9,mean,wk_10,poly,10,3,0.01
5251,7849,-147485659037.55145,442456938505.5369,0.9,mean,wk_10,poly,100,3,0.1
1724,7850,-147485660317.00653,442456942343.978,0.9,mean,wk_10,poly,100,3,0.01
1444,7851,-147490476561.15378,442471391073.5178,0.9,mean,wk_10,poly,0.1,3,10
6584,7852,-148023031202.97568,444068936303.8706,0.6,mean,wk_9_10,poly,1,3,1
8992,7852,-148023031202.97568,444068936303.8706,0.6,mean,wk_9_10,poly,1,3,0.1
9614,7852,-148023031202.97568,444068936303.8706,0.6,mean,wk_9_10,poly,1,3,10
1644,7855,-148033831350.2542,444101336741.2484,0.6,mean,wk_9_10,poly,100,3,1000
5688,7855,-148033831350.2542,444101336741.2484,0.6,mean,wk_9_10,poly,100,3,0.01
61,7857,-148034047246.3512,444101984431.76404,0.6,mean,wk_9_10,poly,0.1,3,1000
5752,7857,-148034047246.3512,444101984431.76404,0.6,mean,wk_9_10,poly,0.1,3,100
2191,7859,-148042858467.5715,444128418095.94794,0.6,mean,wk_9_10,poly,10,3,100
3220,7859,-148042858467.5715,444128418095.94794,0.6,mean,wk_9_10,poly,10,3,10
1113,7859,-148042858467.5715,444128418095.94794,0.6,mean,wk_9_10,poly,10,3,0.1
3945,7862,-154612925792.08395,463838777092.3633,0.7,mean,wk_9_10,poly,0.01,4,0.1
4187,7863,-181554370721.1771,544663085953.3217,0.8,most_frequent,wk_10,poly,100,3,1000
6024,7864,-181554597026.80228,544663764852.17725,0.8,most_frequent,wk_10,poly,100,3,100
1172,7865,-183743911020.68744,551231732778.0466,0.8,mean,wk_10,poly,0.01,5,0.1
1717,7866,-189276826611.90298,567830479551.9093,0.7,median,wk_9_10,poly,0.01,4,0.1
