,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
430,6544,-65734.22811989214,196192.67502798364,0.9,mean,wk_10,linear,0.1,2,1
3000,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,100,3,100
1204,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,0.1,5,100
9108,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,0.1,2,100
2728,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,10,2,100
6912,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,0.1,4,100
6332,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,0.1,6,100
2022,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,1,4,100
3923,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,100,2,100
1153,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,100,6,100
5232,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,1,6,100
6567,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,0.01,6,100
8179,6557,-69568.53284074907,206238.0821941581,0.9,mean,wk_10,linear,1,2,100
6783,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,100,3,1000
5885,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,0.1,5,1000
6242,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,0.1,3,1000
2910,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,100,4,1000
1757,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,10,3,1000
8536,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,10,2,1000
1949,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,100,5,1000
8608,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,10,4,1000
2479,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,1,4,1000
2287,6569,-72134.86397543474,214824.7460406105,0.8,mean,wk_9_10,linear,0.01,2,1000
6458,6579,-78938.47051183326,236531.72885960186,0.6,median,wk_10,poly,0.01,3,0.1
146,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,0.01,3,10
1136,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,0.1,2,10
1350,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,0.1,6,10
3125,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,10,5,10
2176,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,10,6,10
1192,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,100,6,10
4070,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,100,5,10
9272,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,1,6,10
3440,6580,-79271.74032274177,236292.9335538667,0.9,mean,wk_10,linear,1,2,10
3631,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,100,4,10
6869,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,10,6,10
5259,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,1,5,10
171,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,10,4,10
3166,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,1,3,10
41,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,10,2,10
3350,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,10,3,10
7501,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,0.1,4,10
6500,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,0.01,6,10
3012,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,1,4,10
887,6589,-80447.33027110275,240697.24465403173,0.95,mean,wk_10,linear,0.01,3,10
1794,6600,-80453.30631775488,241074.0320686765,0.9,most_frequent,wk_10,poly,0.01,2,1
4893,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,1,2,1000
110,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,0.01,3,1000
6760,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,0.01,5,1000
4457,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,0.1,5,1000
2389,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,0.1,6,1000
2142,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,0.1,4,1000
7945,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,0.01,2,1000
9573,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,0.1,3,1000
8734,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,100,6,1000
388,6601,-81387.44431063088,243019.8209390121,0.95,mean,wk_9_10,linear,1,5,1000
6904,6611,-84515.65720096233,250120.87616513192,0.6,median,all,poly,0.1,2,100
2043,6612,-84520.44473188449,250381.26703946324,0.6,median,all,poly,1,2,0.1
4485,6613,-84536.76570663226,250244.38628019823,0.6,median,all,poly,10,2,0.01
3509,6614,-84597.27052905099,250355.55781103365,0.6,median,all,poly,1,2,1000
7571,6615,-84738.97922944688,250780.23771748654,0.6,median,all,poly,100,2,1
7350,6615,-84738.97922944688,250780.23771748654,0.6,median,all,poly,100,2,1000
849,6615,-84738.97922944688,250780.23771748654,0.6,median,all,poly,100,2,10
