,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
425,90,-0.5957931960944683,0.11308759919456025,0.85,most_frequent,wk_10,rbf,100,5,100
6523,91,-0.5961506617574974,0.111224150335177,0.8,mean,wk_10,rbf,10,4,100
680,92,-0.5962123412866067,0.13109830199762584,0.95,mean,wk_10,rbf,10,4,1
7553,93,-0.5963227651710437,0.11810778927165579,0.9,median,wk_10,rbf,100,6,100
8211,94,-0.5965507116401114,0.19303949271066764,0.9,mean,wk_9_10,rbf,0.1,6,1
9798,95,-0.5965807717387098,0.10751030299308759,0.95,median,wk_10,rbf,1,3,100
6473,96,-0.5968318377220047,0.11033722322943176,0.8,mean,wk_10,rbf,100,5,1000
7518,97,-0.5968391605962824,0.1129056606093167,0.8,most_frequent,wk_10,rbf,100,5,1
8747,98,-0.596941754853862,0.10357659016104918,0.7,median,wk_10,rbf,100,2,10
7422,99,-0.5970032162924286,0.12076594663376054,0.85,most_frequent,wk_10,rbf,10,5,1
8166,100,-0.5979363781725446,0.10424234774689776,0.6,most_frequent,wk_10,rbf,100,6,100
8125,101,-0.5979498383509789,0.11467519615993794,0.7,mean,wk_10,rbf,10,2,1000
9960,102,-0.5983978204036353,0.10442301867293759,0.8,most_frequent,wk_10,rbf,10,3,10
5078,103,-0.5984024673508339,0.10606522322223483,0.85,most_frequent,wk_10,rbf,100,2,10
844,104,-0.5984450176062471,0.11536598145319979,0.85,median,wk_10,rbf,1,4,1
630,105,-0.5984628890859764,0.1098927505320679,0.85,median,wk_10,rbf,1,5,1
8875,106,-0.5990291448387915,0.1159275562461299,0.7,most_frequent,wk_10,rbf,10,4,1
8573,107,-0.5990533394780523,0.14534948247637133,0.7,median,wk_10,rbf,1,5,1000
6645,108,-0.5993270020116562,0.10936778467567104,0.7,mean,wk_10,rbf,10,6,10
410,109,-0.5999487052769636,0.11505227708082794,0.85,most_frequent,wk_10,rbf,100,5,1
9287,110,-0.6000538190645153,0.1843037041521329,0.95,mean,wk_9_10,rbf,0.1,3,100
6240,111,-0.6007067317029514,0.09707036343699411,0.7,most_frequent,wk_10,poly,0.1,5,1
644,112,-0.6007153434381649,0.09786869920863366,0.8,median,wk_10,rbf,10,6,100
5242,113,-0.6007645063668143,0.09682732890039493,0.85,median,wk_10,rbf,1,4,10
3672,114,-0.6008043537517131,0.10902049506659624,0.7,mean,wk_10,rbf,10,6,1000
6049,115,-0.6009643272164592,0.10474134524236839,0.8,median,wk_10,rbf,10,4,100
2999,116,-0.6009898466866475,0.12057014125177888,0.7,median,wk_10,rbf,100,3,1000
3342,117,-0.6011208255478322,0.09991917576885292,0.9,mean,wk_10,rbf,10,6,1
2651,118,-0.6012478772216582,0.12746428655188557,0.95,most_frequent,wk_10,rbf,1,3,1
9195,119,-0.6013074539655527,0.13561131048328348,0.9,median,wk_10,rbf,100,4,100
352,120,-0.6013269803461441,0.12004546471909401,0.6,most_frequent,wk_10,rbf,10,2,10
3237,121,-0.6019172167749509,0.10650184254094036,0.95,most_frequent,wk_10,rbf,100,3,1
4120,122,-0.6023140698312068,0.10557668972639546,0.6,median,wk_10,rbf,10,3,100
