,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
5007,134,-0.6165715612652166,0.1337127519558248,0.85,most_frequent,wk_10,rbf,0.1,5,10
1410,135,-0.617038178341983,0.18371837401984512,0.6,most_frequent,all,rbf,0.01,6,10
7725,136,-0.6170791949189811,0.153320019285523,0.7,median,wk_9_10,poly,100,6,0.01
3486,137,-0.6173609731811284,0.1510817597186506,0.6,median,wk_9_10,rbf,0.1,6,1000
544,138,-0.6173976266109525,0.28456475797090774,0.7,most_frequent,all,rbf,0.01,6,1000
8284,139,-0.6176091246531625,0.12139564600966557,0.9,most_frequent,wk_10,rbf,0.1,3,10
3867,140,-0.6177119229217404,0.13279541906218076,0.8,median,wk_10,poly,0.01,6,0.01
5277,141,-0.6177490569840471,0.12102893715643474,0.95,mean,wk_10,rbf,0.1,5,100
9135,142,-0.6178798417441722,0.09706681972454181,0.9,median,wk_10,rbf,0.1,3,10
2518,143,-0.6181667298316319,0.14876787229513355,0.7,median,all,rbf,0.01,6,0.01
1284,144,-0.6184785523120978,0.11912436600132457,0.6,mean,wk_9_10,poly,10,6,100
6103,145,-0.6189747790292518,0.14834226774502007,0.9,most_frequent,all,poly,0.01,6,100
3152,146,-0.6190258843798928,0.1803271024983858,0.9,mean,all,rbf,0.01,2,1
614,147,-0.6193130862193075,0.12344823063319389,0.6,most_frequent,wk_9_10,linear,10,5,1000
3487,148,-0.619540037925859,0.29142824419169794,0.85,most_frequent,all,rbf,0.01,3,100
9023,149,-0.6195579601595691,0.28036496974684133,0.8,mean,all,rbf,0.01,2,100
2192,150,-0.6197744859681154,0.2950066235478336,0.7,most_frequent,all,rbf,0.01,2,100
8001,151,-0.6201352531581967,0.13350141050074196,0.95,most_frequent,wk_10,rbf,0.1,6,100
9848,152,-0.6203193658169857,0.16553362920028222,0.85,most_frequent,wk_10,rbf,0.1,2,10
4960,153,-0.6203333194721953,0.07780499854879566,0.85,most_frequent,wk_10,poly,0.1,3,10
362,154,-0.6205843555013723,0.2400504090464294,0.95,median,wk_10,poly,10,2,100
45,155,-0.6207166510051773,0.16132510821891238,0.7,mean,all,rbf,0.01,6,0.01
500,156,-0.6208296717750413,0.1429782008590392,0.7,median,wk_9_10,poly,100,6,1
5340,157,-0.6208619487943947,0.1853080276892171,0.6,most_frequent,all,rbf,0.01,4,1000
6944,158,-0.6208831168347644,0.11668002919510057,0.7,mean,all,linear,10,3,1000
7147,159,-0.620913356863328,0.08476543268773448,0.9,most_frequent,wk_10,poly,0.1,3,0.1
8483,160,-0.6212325482773777,0.11140023585450448,0.6,mean,wk_9_10,poly,0.1,6,1000
8323,161,-0.6216891637725683,0.09673718227543458,0.9,most_frequent,wk_10,rbf,0.1,6,1
3044,162,-0.6218660514434796,0.14877736044342227,0.7,median,wk_9_10,poly,10,6,1000
9622,163,-0.6219375610417373,0.1545267681964714,0.85,median,wk_10,poly,1,5,0.01
5501,164,-0.6219766594912814,0.23624009448013225,0.9,mean,wk_9_10,poly,0.1,2,100
7296,165,-0.622578957753794,0.11773223189764774,0.8,most_frequent,wk_10,poly,10,5,0.01
4269,166,-0.6227661957944995,0.25109934443770665,0.6,mean,all,rbf,0.01,3,1000
7589,167,-0.6229960576169677,0.0999114487705966,0.7,median,wk_9_10,poly,1,4,100
9585,168,-0.6231077454266958,0.13849311661880348,0.6,median,wk_9_10,linear,0.1,5,1000
1427,169,-0.6232930654437728,0.15117700347038535,0.95,most_frequent,all,poly,10,4,1
8605,170,-0.6236294158560582,0.1573675728746559,0.95,median,wk_10,rbf,0.1,6,10
4037,171,-0.6236928081186568,0.16363191575537708,0.8,mean,wk_9_10,poly,1,2,1
6585,172,-0.6238690396743076,0.0976321342215709,0.9,most_frequent,wk_10,poly,0.1,3,1
4639,173,-0.6241321016132426,0.11413259175716493,0.8,most_frequent,all,rbf,0.01,3,0.01
7792,174,-0.6241637711513066,0.10344693727824238,0.95,most_frequent,all,poly,0.1,6,1000
7010,175,-0.6241903754502288,0.14844313586960725,0.95,most_frequent,wk_10,rbf,0.1,2,100
7013,176,-0.6249036389191163,0.14328815436505937,0.8,most_frequent,wk_10,rbf,0.1,5,100
9444,177,-0.6250046070770383,0.2941933609341751,0.6,median,all,rbf,0.01,3,10
6355,178,-0.6250945514924926,0.2665939111374007,0.6,mean,wk_9_10,rbf,0.1,3,100
8913,179,-0.6253099990636318,0.1774008772231571,0.9,median,all,rbf,0.01,5,1
5315,180,-0.6253317180322132,0.17589773879107196,0.95,most_frequent,wk_10,rbf,0.1,2,10
507,181,-0.6258554967411987,0.10057992383522368,0.95,most_frequent,all,poly,0.01,6,1000
5015,182,-0.625914733165232,0.10373876448474882,0.85,median,wk_9_10,poly,1,5,0.01
7223,183,-0.6262994493806575,0.10529969064195893,0.9,most_frequent,all,poly,0.01,6,0.1
9261,184,-0.6265420103898981,0.11003987964521895,0.9,median,wk_9_10,linear,10,3,0.1
7707,185,-0.6268072117700805,0.16115143316994276,0.9,most_frequent,wk_10,rbf,0.1,6,100
7049,186,-0.6268215848322679,0.1952226833091712,0.95,most_frequent,wk_10,rbf,0.1,4,100
9244,187,-0.6268458263004735,0.09280781523687019,0.95,most_frequent,all,poly,10,6,1000
7820,188,-0.6268947224504138,0.164437084077569,0.7,median,wk_9_10,poly,100,6,100
265,189,-0.6269235092341737,0.14162735963400364,0.85,median,wk_10,poly,100,5,1
9190,190,-0.6271386809830368,0.15565748213844807,0.7,mean,wk_9_10,poly,1,2,10
8878,191,-0.6275492243282688,0.27253894951938296,0.7,mean,all,rbf,0.01,3,100
3790,192,-0.6276191144812884,0.06619566133364557,0.95,most_frequent,all,linear,0.01,3,100
5752,193,-0.6278345147793869,0.14468591498539748,0.9,most_frequent,all,poly,100,4,0.1
7322,194,-0.6280343995928611,0.1754362986652493,0.9,most_frequent,all,poly,1,4,1
4834,195,-0.6280815489123825,0.14030045825019938,0.8,mean,wk_10,poly,10,3,0.1
6048,196,-0.6281090543011976,0.11550215431724097,0.6,most_frequent,all,rbf,0.01,4,0.1
9669,197,-0.6283291367974371,0.151720728103488,0.95,median,wk_10,poly,0.01,5,1
1449,198,-0.6283541312985654,0.13871160388043788,0.7,median,all,rbf,0.01,3,0.01
4711,199,-0.6285262199041977,0.0982034236756689,0.6,mean,wk_10,poly,0.01,2,100
8491,200,-0.6288604320355796,0.07466867242740904,0.7,most_frequent,wk_10,poly,10,2,0.1
385,201,-0.6289859153425,0.11166293219374962,0.95,most_frequent,wk_9_10,poly,0.01,6,1
3417,202,-0.6295318934013812,0.15302135605940662,0.95,most_frequent,wk_10,rbf,0.1,5,1000
1828,203,-0.6297195544818126,0.23035049090053045,0.7,mean,all,rbf,0.01,5,100
3252,204,-0.6297786122462468,0.12352169117992247,0.7,median,wk_10,rbf,0.01,6,10
208,205,-0.6297947377713882,0.30214050663369346,0.85,mean,all,rbf,0.01,4,100
6931,206,-0.6300579683876606,0.3095075916725076,0.9,median,wk_10,poly,10,4,1000
455,207,-0.6300604781881989,0.13061665075203424,0.9,most_frequent,wk_10,rbf,0.1,4,1000
232,208,-0.630134145662266,0.13404413882827407,0.85,most_frequent,wk_10,rbf,0.1,3,100
1520,209,-0.6305686574686497,0.11971829680046367,0.9,median,wk_9_10,linear,1,4,0.1
7699,210,-0.6307751011229175,0.12946857849673984,0.95,most_frequent,all,poly,100,4,100
3589,211,-0.6307802499451052,0.1564746693882077,0.95,most_frequent,all,rbf,0.01,5,0.1
2596,212,-0.6310244090734869,0.0423914386968841,0.6,most_frequent,wk_9_10,rbf,0.01,2,1000
4250,213,-0.631202953718339,0.09302072706008764,0.6,median,wk_10,poly,10,6,0.01
6217,214,-0.6313177216769267,0.12635957344718302,0.7,median,wk_9_10,poly,1,2,10
5105,215,-0.6313883813632063,0.14298994202114026,0.7,median,wk_9_10,poly,100,6,1000
1311,216,-0.6315370226849961,0.1130311805037235,0.6,median,wk_10,linear,0.1,4,1
4362,217,-0.6315658127829326,0.06768613104699481,0.8,most_frequent,wk_9_10,poly,1,2,100
5715,218,-0.6316768422975652,0.15958298912558264,0.6,most_frequent,wk_10,rbf,0.01,6,10
8090,219,-0.6316792100482498,0.05143039674824172,0.9,most_frequent,wk_9_10,poly,100,2,1000
7063,220,-0.6320027854376826,0.208283866606974,0.8,mean,wk_9_10,poly,1,4,100
5337,221,-0.6323037170768535,0.11033413809341934,0.7,mean,wk_10,poly,0.1,5,0.01
2724,222,-0.6323143428462574,0.09198553065490428,0.9,most_frequent,wk_10,poly,1,3,100
3707,223,-0.6325416856620498,0.12171949031643264,0.95,mean,wk_10,poly,0.01,4,0.1
3880,224,-0.6326361608839921,0.08230976966950364,0.95,most_frequent,all,poly,0.1,6,10
988,225,-0.6327615051515597,0.12698853886285116,0.6,most_frequent,wk_10,rbf,0.01,5,1
5549,226,-0.6330039901793627,0.3348822113166998,0.8,mean,all,rbf,0.01,2,10
8387,227,-0.6331938180169934,0.07732083967348059,0.7,mean,wk_10,poly,0.1,6,1000
1729,228,-0.6332010432203565,0.08224092852635388,0.6,median,all,linear,10,6,1000
488,229,-0.6334003202437943,0.07641376176748203,0.8,most_frequent,wk_10,poly,10,5,0.1
9299,230,-0.6334486765671064,0.34866759667635916,0.7,median,all,rbf,0.01,5,1000
552,231,-0.633479429042848,0.2950176438711209,0.6,median,all,rbf,0.01,2,10
5356,232,-0.6335663472003292,0.11879910984204176,0.9,most_frequent,all,poly,0.01,6,1000
8670,233,-0.6338764443096542,0.11896093711361494,0.7,median,wk_9_10,rbf,0.01,5,1000
7485,234,-0.633931622332051,0.17148087925377245,0.8,most_frequent,all,rbf,0.01,5,0.1
5243,235,-0.6339619179206565,0.1530757594009568,0.7,median,all,rbf,0.01,5,0.01
1282,236,-0.634089681378976,0.20997838483800274,0.7,mean,wk_9_10,poly,10,2,0.1
1395,237,-0.6341762418975586,0.19938685185873312,0.7,mean,wk_9_10,poly,100,2,1
301,238,-0.6341983415139504,0.15382081490035804,0.9,most_frequent,wk_9_10,linear,100,5,0.1
3081,239,-0.6342185620047733,0.10329232841755721,0.95,mean,all,linear,10,2,10
9428,240,-0.6344174856722427,0.12845693466068453,0.95,median,wk_10,rbf,0.1,2,10
1769,241,-0.6345463271354966,0.21471984982736395,0.95,most_frequent,wk_10,rbf,0.1,3,100
8880,242,-0.6346061262313087,0.12939245820231296,0.8,most_frequent,wk_10,rbf,0.1,4,1
3321,243,-0.6346330772818961,0.09693157394398301,0.95,mean,all,linear,0.01,3,1000
