,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
8714,1857,-0.6934513378246911,0.005710433001152912,0.85,median,wk_9_10,rbf,10,2,1000
4519,1858,-0.6934541326228283,0.008794709007243325,0.9,mean,all,rbf,100,2,1000
5977,1859,-0.6934594185405553,0.008535409077373768,0.95,mean,all,rbf,1,4,100
6793,1860,-0.6934604533197543,0.009347251241237057,0.8,mean,all,rbf,1,2,1000
1114,1861,-0.6934617535108831,0.007653205274754338,0.85,mean,all,rbf,0.1,6,100
6581,1862,-0.6934647420062185,0.009377421293900236,0.95,median,all,rbf,1,4,100
6606,1863,-0.6934724764997349,0.01390672334981339,0.6,mean,all,linear,0.1,4,100
8702,1864,-0.6934753625320644,0.004524132952257103,0.9,most_frequent,all,rbf,1,4,100
8465,1865,-0.6934802508195993,0.008908344048341708,0.8,most_frequent,all,rbf,100,5,100
9369,1866,-0.6934909944161316,0.006148496252530329,0.9,most_frequent,wk_9_10,rbf,100,4,10
9137,1867,-0.6934922343407893,0.003530784266613145,0.8,median,all,rbf,0.1,4,1
457,1868,-0.6934977036876214,0.005841980110444258,0.85,mean,wk_9_10,rbf,1,6,10
3143,1869,-0.6935115092372005,0.006840291330789283,0.6,median,wk_9_10,rbf,10,2,1
303,1870,-0.6935178843162924,0.005823653145441162,0.9,median,wk_9_10,rbf,10,5,1
7686,1871,-0.6935225036713828,0.009365207934590725,0.7,median,all,rbf,1,2,1000
120,1872,-0.6935237111886171,0.0032358790579377584,0.6,median,all,rbf,100,5,1
9662,1873,-0.6935278033598051,0.07417595799506983,0.6,median,wk_10,rbf,100,4,1000
5232,1874,-0.6935299986100087,0.04284101732051263,0.7,most_frequent,all,linear,100,5,10
9344,1875,-0.6935350822336949,0.006569314351431351,0.9,mean,all,rbf,1,3,1
1550,1876,-0.6935365178587581,0.005910652699054711,0.95,mean,all,rbf,100,3,1
5620,1877,-0.6935396595214162,0.006062957958286774,0.7,mean,wk_9_10,rbf,10,6,1000
703,1878,-0.6935421264448411,0.00613367461760459,0.9,most_frequent,all,rbf,100,5,1000
1360,1879,-0.6935429769106787,0.009145801856695958,0.85,median,all,rbf,0.1,2,10
565,1880,-0.6935431036426946,0.007351548903447339,0.7,mean,wk_9_10,rbf,10,6,10
9172,1881,-0.693554167266999,0.0053250486610195965,0.7,mean,all,rbf,100,2,1
1988,1882,-0.693556224873885,0.007193745088228682,0.95,mean,wk_9_10,rbf,10,5,10
6401,1883,-0.6935574833060039,0.004926553902693884,0.85,mean,wk_9_10,rbf,1,6,1000
4386,1884,-0.6935649554897502,0.004877163236520129,0.85,median,all,rbf,100,2,100
2768,1885,-0.6935651536669445,0.010561242262307423,0.9,mean,all,rbf,10,4,100
293,1886,-0.6935662518550891,0.003931754692763678,0.7,mean,all,rbf,10,4,1
7792,1887,-0.6935673326550812,0.09427459009191365,0.85,mean,all,poly,10,4,1
5352,1888,-0.6935730133635203,0.009564437033076412,0.95,most_frequent,all,rbf,10,2,10
5708,1889,-0.6935755033918718,0.00710517496376433,0.85,most_frequent,wk_9_10,rbf,10,3,10
719,1890,-0.6935815442933705,0.006415414079116207,0.95,most_frequent,wk_9_10,rbf,1,3,10
8339,1891,-0.693586827644743,0.0022470430816191717,0.7,mean,wk_9_10,rbf,100,5,1
3709,1892,-0.6935963557360306,0.009028426007861468,0.9,mean,all,rbf,100,2,10
1026,1893,-0.6935974352880371,0.006042910537023178,0.9,mean,all,rbf,100,3,1000
1711,1894,-0.6935979609452844,0.010979425787595793,0.7,most_frequent,all,rbf,10,6,100
3816,1895,-0.693599969754728,0.006774026854811688,0.85,most_frequent,all,rbf,0.1,5,100
3763,1896,-0.6936048642811515,0.007585892249327026,0.8,median,wk_9_10,rbf,1,5,1000
5425,1897,-0.6936121211655818,0.0072056493791789935,0.95,most_frequent,all,rbf,0.1,5,100
3972,1898,-0.6936136532787007,0.006754091704553135,0.95,most_frequent,wk_9_10,rbf,1,5,10
8413,1899,-0.6936160162612678,0.00765209482135489,0.9,mean,wk_9_10,rbf,1,2,10
9547,1900,-0.6936232360479051,0.005749676966454159,0.85,most_frequent,wk_9_10,rbf,100,3,1000
6664,1901,-0.6936235912540826,0.005551454802654635,0.6,median,wk_9_10,rbf,10,4,10
4775,1902,-0.6936250384340005,0.00734265825696914,0.9,median,all,rbf,10,3,10
8790,1903,-0.693626347401547,0.005759263785669887,0.8,mean,all,rbf,1,6,100
2671,1904,-0.6936267490006163,0.00883648102732292,0.8,mean,all,rbf,10,3,10
7432,1905,-0.6936309848397679,0.005191737276038094,0.85,mean,all,rbf,1,6,100
4799,1906,-0.6936323406514869,0.007733199196848314,0.95,most_frequent,wk_9_10,rbf,10,4,1000
866,1907,-0.6936338161235601,0.004217133666989781,0.9,most_frequent,wk_9_10,rbf,1,5,1
5922,1908,-0.6936347452839325,0.007626298539121042,0.9,median,wk_9_10,rbf,100,2,1000
3488,1909,-0.693635109022299,0.004061706752003397,0.9,median,all,rbf,100,5,1000
