,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
6257,185,0.6090620231394955,0.10490610996641296,No Imputation,0.95,most_frequent,wk_10,rbf,10,6,1
7334,186,0.6090950051531029,0.09753708934984787,KNN Imputation,0.85,most_frequent,wk_10,poly,10,5,0.01
1401,187,0.6091952103912356,0.10951747747157071,No Imputation,0.9,mean,wk_10,rbf,10,2,10
3355,188,0.6095428082599418,0.09634059384329366,No Imputation,0.9,mean,wk_10,rbf,100,2,100
4858,189,0.6098180480881269,0.09970578078359667,No Imputation,0.85,mean,wk_10,rbf,10,6,100
2179,190,0.6098969680884287,0.12044392664786283,KNN Imputation,0.6,mean,wk_10,poly,0.1,3,10
6207,191,0.6099292238458218,0.09763126246019815,No Imputation,0.85,most_frequent,wk_10,rbf,10,2,1000
9769,192,0.6100473136383644,0.11006648854384127,No Imputation,0.6,median,wk_10,rbf,10,6,10
7580,193,0.6105542224718328,0.09367718977520317,No Imputation,0.95,median,wk_10,rbf,1,6,1000
9282,194,0.6106219671166421,0.10837830764865604,No Imputation,0.7,median,wk_10,rbf,10,5,1
832,195,0.6108663859552487,0.1028953467164258,No Imputation,0.85,median,wk_10,rbf,1,2,1
448,196,0.610982912249999,0.0975453736946529,No Imputation,0.8,median,wk_10,rbf,1,6,10
8062,197,0.6111865827340356,0.11527149155628595,KNN Imputation,0.6,median,wk_10,rbf,100,5,1
8531,198,0.611187810773157,0.11103092088082665,No Imputation,0.95,most_frequent,wk_10,rbf,1,6,1
4348,199,0.6113216393566325,0.09137567802303555,No Imputation,0.7,mean,wk_10,rbf,100,5,1000
4960,200,0.6114692317290291,0.09528327557284083,No Imputation,0.85,median,wk_10,rbf,100,3,1
4926,201,0.6116368646532397,0.16477812473062733,No Imputation,0.95,mean,wk_9_10,rbf,0.1,6,10
3562,202,0.61168215546808,0.18619016823142198,No Imputation,0.8,mean,wk_9_10,rbf,0.1,4,1
9971,203,0.6116880132934293,0.2382415941463645,No Imputation,0.9,mean,wk_9_10,rbf,0.1,3,1000
2544,204,0.6117009128996589,0.18034925647649422,KNN Imputation,0.9,mean,wk_9_10,rbf,0.1,4,100
5491,205,0.6117404360762289,0.11440820580108016,No Imputation,0.7,mean,wk_10,rbf,100,2,1
3878,206,0.6117587239159631,0.12578887798101723,KNN Imputation,0.9,mean,wk_10,rbf,10,4,1000
902,207,0.6117636558155927,0.11529398230231483,No Imputation,0.8,most_frequent,wk_10,rbf,100,6,100
3423,208,0.6118239247150845,0.11306102593093743,No Imputation,0.6,mean,wk_10,rbf,10,2,1
4356,209,0.6118671921739571,0.14315520934722886,No Imputation,0.85,median,wk_10,rbf,1,5,100
9094,210,0.612015268463944,0.09157903838141992,No Imputation,0.7,mean,wk_10,rbf,100,4,100
9386,211,0.6120257057412812,0.12016744594473788,No Imputation,0.95,most_frequent,wk_10,rbf,10,5,1
9680,212,0.6120511598527569,0.09090776908952547,No Imputation,0.95,mean,wk_10,rbf,1,3,10
6462,213,0.6120603492668389,0.08845644753827774,No Imputation,0.8,mean,wk_10,rbf,10,6,10
1219,214,0.6120642765244684,0.09645036065440307,No Imputation,0.7,median,wk_10,rbf,10,3,1000
973,215,0.6120661448817792,0.11669282800197651,KNN Imputation,0.8,mean,wk_10,poly,0.1,5,1000
4875,216,0.6123787195990733,0.09658433426757265,No Imputation,0.6,most_frequent,wk_10,rbf,100,4,10
3879,217,0.6124037330892496,0.17379434053912493,KNN Imputation,0.9,most_frequent,wk_9_10,poly,10,5,1000
2947,218,0.6127276576311602,0.14470621480679727,No Imputation,0.8,most_frequent,wk_10,rbf,1,2,1
8144,219,0.6127345369316478,0.11194830874613876,KNN Imputation,0.95,mean,wk_10,rbf,100,5,100
2948,220,0.6128753527875476,0.11263567743768085,No Imputation,0.95,most_frequent,wk_10,rbf,1,2,100
4969,221,0.6130707191356318,0.1469149414704104,No Imputation,0.7,mean,wk_10,rbf,10,2,10
3132,222,0.6133423961610098,0.11357639811678091,No Imputation,0.7,most_frequent,wk_10,rbf,100,5,1
9594,223,0.613380910991147,0.16972106619116298,No Imputation,0.7,most_frequent,wk_10,linear,0.01,4,1000
9232,224,0.6134055944499089,0.0909381816088297,No Imputation,0.85,most_frequent,wk_10,rbf,10,5,1000
7071,225,0.6136341686628615,0.11306712799141462,No Imputation,0.95,median,wk_10,rbf,100,6,1
8414,226,0.6139018315567724,0.10780740214366935,KNN Imputation,0.7,median,wk_10,rbf,10,4,10
395,227,0.6139561543860975,0.12598805396346424,KNN Imputation,0.95,median,wk_10,rbf,10,3,1
7525,228,0.6140145770974437,0.10148900966279097,KNN Imputation,0.6,mean,wk_9_10,linear,1,2,1000
508,229,0.6140251263301783,0.11829055962376035,KNN Imputation,0.7,median,wk_10,poly,0.1,3,10
3410,230,0.6140911505345933,0.11741701568332731,KNN Imputation,0.85,median,wk_10,rbf,1,2,10
6693,231,0.6141612901780533,0.10425699497670872,No Imputation,0.8,mean,wk_10,rbf,1,4,100
9399,232,0.6142726395699228,0.08820281296008213,No Imputation,0.9,median,wk_10,rbf,1,4,10
6371,233,0.6142843231491215,0.09015963027138624,KNN Imputation,0.8,most_frequent,wk_9_10,poly,0.01,2,100
8445,234,0.6143695280192996,0.09455454578905577,KNN Imputation,0.8,most_frequent,all,poly,100,4,1
4702,235,0.6144016624884916,0.1402448201218434,No Imputation,0.7,mean,wk_10,rbf,10,5,1
7932,236,0.6144275501678583,0.1094689206987446,KNN Imputation,0.6,mean,wk_10,rbf,10,4,1
7538,237,0.6144883947624091,0.11144352950370065,KNN Imputation,0.8,median,wk_10,rbf,1,2,1
5782,238,0.6144955142869051,0.1282070389302426,KNN Imputation,0.85,mean,wk_9_10,rbf,0.1,6,1
9384,239,0.6145814975887275,0.12600566833949087,KNN Imputation,0.85,most_frequent,wk_10,poly,0.1,3,1
5735,240,0.6148387009746248,0.11278764503962194,KNN Imputation,0.9,median,wk_10,rbf,100,6,1000
5643,241,0.6150362765092591,0.10193602788345238,KNN Imputation,0.6,median,wk_10,poly,100,3,1
4966,242,0.6150387639536948,0.11137598386681948,No Imputation,0.6,mean,wk_10,poly,10,4,0.01
3466,243,0.615056585757305,0.19335531086473104,No Imputation,0.85,mean,wk_9_10,rbf,0.1,2,1
336,244,0.6151417976155569,0.09205690972623048,No Imputation,0.7,mean,wk_10,rbf,100,2,1000
9659,245,0.6153866600464586,0.10314416181965075,No Imputation,0.6,mean,wk_10,rbf,100,5,10
3791,246,0.6154609288986108,0.11638682020888795,No Imputation,0.95,mean,wk_10,rbf,10,3,1
3681,247,0.6154911648150039,0.11509538751959428,No Imputation,0.8,most_frequent,wk_10,rbf,10,2,100
760,248,0.6155384902089212,0.09901488212714456,No Imputation,0.85,median,wk_10,rbf,10,6,100
8851,249,0.6157226474304688,0.12062303251442842,No Imputation,0.85,most_frequent,wk_9_10,poly,0.1,3,0.1
9037,250,0.6157661491992095,0.1544676508778714,No Imputation,0.95,most_frequent,wk_10,rbf,100,3,10
4044,251,0.6158447384281408,0.1113325721121536,KNN Imputation,0.95,most_frequent,wk_10,poly,1,3,1000
159,252,0.6159789873064848,0.13898390762835336,No Imputation,0.85,most_frequent,wk_10,rbf,1,4,1000
9240,253,0.6159797814476182,0.14004408958168243,No Imputation,0.6,median,wk_10,rbf,10,2,10
3976,254,0.6159883961294843,0.10211743756648517,No Imputation,0.7,most_frequent,wk_10,poly,100,2,10
4948,255,0.6161481048891517,0.13363133944296815,KNN Imputation,0.9,most_frequent,wk_10,rbf,100,6,100
4117,256,0.6161685495839214,0.17766830843432155,No Imputation,0.9,mean,wk_9_10,rbf,0.1,4,1
894,257,0.6163874705968595,0.10396366694051153,No Imputation,0.85,mean,wk_10,rbf,10,5,100
8434,258,0.616407576405338,0.11031277466903919,No Imputation,0.8,median,wk_10,rbf,100,4,1
6740,259,0.6164693531302544,0.1277402169523766,KNN Imputation,0.95,mean,wk_9_10,rbf,0.1,2,10
5797,260,0.6164814121336276,0.09352287845313074,KNN Imputation,0.85,median,wk_10,poly,0.1,5,1
3777,261,0.6164927413783771,0.09159744973437911,No Imputation,0.9,median,wk_10,rbf,10,5,1
6510,262,0.6165334552564008,0.11214793822986725,KNN Imputation,0.9,mean,wk_10,rbf,1,5,100
425,263,0.6166811154664538,0.13712815689410432,KNN Imputation,0.95,mean,wk_9_10,rbf,0.1,3,10
