,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
9302,4598,56.49525378072421,24.949307483809015,KNN Imputation,0.6,median,wk_10,rbf,100,5,10
3528,4599,56.49525378072421,24.949307483809015,KNN Imputation,0.95,median,wk_10,rbf,100,3,10
3024,4600,56.49525378072421,24.949307483809015,KNN Imputation,0.8,median,wk_10,rbf,100,6,10
3524,4601,56.49525378072421,24.949307483809015,KNN Imputation,0.8,mean,wk_10,rbf,100,6,10
9418,4602,56.49525378072421,24.949307483809015,KNN Imputation,0.8,most_frequent,wk_10,rbf,100,3,10
3171,4603,56.49525378072421,24.949307483809015,KNN Imputation,0.7,median,wk_10,rbf,100,3,10
1435,4604,56.49525378072421,24.949307483809015,KNN Imputation,0.95,median,wk_10,rbf,100,2,10
164,4605,56.49525378072421,24.949307483809015,KNN Imputation,0.7,median,wk_10,rbf,100,5,10
3948,4606,56.49525378072421,24.949307483809015,KNN Imputation,0.95,mean,wk_10,rbf,100,4,10
1992,4607,56.49525378072421,24.949307483809015,KNN Imputation,0.9,median,wk_10,rbf,100,2,10
381,4608,56.49525378072421,24.949307483809015,KNN Imputation,0.8,median,wk_10,rbf,100,4,10
2919,4609,56.49525378072421,24.949307483809015,KNN Imputation,0.9,median,wk_10,rbf,100,3,10
4151,4610,56.49525378072421,24.949307483809015,KNN Imputation,0.95,median,wk_10,rbf,100,4,10
8700,4611,56.49525378072421,24.949307483809015,KNN Imputation,0.7,most_frequent,wk_10,rbf,100,5,10
1359,4612,56.49525378072421,24.949307483809015,KNN Imputation,0.6,mean,wk_10,rbf,100,5,10
9730,4613,56.49525378072421,24.949307483809015,KNN Imputation,0.85,most_frequent,wk_10,rbf,100,4,10
6055,4614,56.49525378072421,24.949307483809015,KNN Imputation,0.95,mean,wk_10,rbf,10,4,10
6337,4615,56.49525378072421,24.949307483809015,KNN Imputation,0.85,mean,wk_10,rbf,100,5,10
9048,4616,56.49525378072421,24.949307483809015,KNN Imputation,0.95,mean,wk_10,rbf,100,2,10
1367,4617,56.49525378072421,24.949307483809015,KNN Imputation,0.9,median,wk_10,rbf,100,4,10
3373,4618,56.49525378072421,24.949307483809015,KNN Imputation,0.9,mean,wk_10,rbf,100,2,10
6240,4619,56.49525378072421,24.949307483809015,KNN Imputation,0.9,mean,wk_10,rbf,10,3,10
9941,4620,56.49525378072421,24.949307483809015,KNN Imputation,0.95,median,wk_10,rbf,100,6,10
9857,4621,56.49525378072421,24.949307483809015,KNN Imputation,0.9,most_frequent,wk_10,rbf,100,5,10
2133,4622,56.49525378072421,24.949307483809015,KNN Imputation,0.8,mean,wk_10,rbf,100,4,10
7213,4623,56.49525378072421,24.949307483809015,KNN Imputation,0.85,most_frequent,wk_10,rbf,100,2,10
9688,4624,56.49525378072421,24.949307483809015,KNN Imputation,0.8,mean,wk_10,rbf,100,2,10
9722,4625,56.49525378072421,24.949307483809015,KNN Imputation,0.85,median,wk_10,rbf,100,2,10
578,4626,56.49525378072421,24.949307483809015,KNN Imputation,0.9,most_frequent,wk_10,rbf,100,4,10
8791,4627,56.49525378072421,24.949307483809015,KNN Imputation,0.9,mean,wk_10,rbf,10,4,10
1389,4628,56.49525378072421,24.949307483809015,KNN Imputation,0.6,mean,wk_10,rbf,100,3,10
8192,4629,56.49525378072421,24.949307483809015,KNN Imputation,0.8,most_frequent,wk_10,rbf,100,6,10
6550,4630,56.49525378072421,24.949307483809015,KNN Imputation,0.9,mean,wk_10,rbf,100,6,10
2386,4631,56.4952537807661,24.949307483850493,KNN Imputation,0.85,median,wk_10,rbf,10,6,10
7830,4632,56.4952537807661,24.949307483850493,KNN Imputation,0.85,median,wk_10,rbf,10,3,10
959,4633,56.4952537807661,24.949307483850493,KNN Imputation,0.85,median,wk_10,rbf,10,4,10
3729,4634,56.495253780884696,24.94930748392446,KNN Imputation,0.8,median,wk_10,rbf,10,6,10
2030,4635,56.495253780884696,24.94930748392446,KNN Imputation,0.8,median,wk_10,rbf,10,3,10
3125,4636,56.49574516445159,24.948541620689276,KNN Imputation,0.6,mean,wk_10,rbf,10,3,10
8390,4637,56.49574516445159,24.948541620689276,KNN Imputation,0.6,mean,wk_10,rbf,10,5,10
8087,4638,56.49634444256276,24.950655147263955,KNN Imputation,0.8,most_frequent,wk_10,rbf,10,2,10
7766,4639,56.49662862212299,24.95090176972016,KNN Imputation,0.85,most_frequent,wk_10,rbf,10,5,10
1146,4640,56.49662862212299,24.95090176972016,KNN Imputation,0.85,most_frequent,wk_10,rbf,10,2,10
7593,4641,56.49662862212299,24.95090176972016,KNN Imputation,0.85,most_frequent,wk_10,rbf,10,6,10
4901,4642,56.49662862212299,24.95090176972016,KNN Imputation,0.85,most_frequent,wk_10,rbf,10,4,10
1350,4643,56.49664371029356,24.950907580607296,KNN Imputation,0.9,most_frequent,wk_10,rbf,10,3,10
1306,4644,56.4966443263984,24.950908152986532,KNN Imputation,0.7,mean,wk_10,rbf,10,6,10
