,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
2283,98,0.580307951246868,0.19974884623849407,No Imputation,0.85,median,all,rbf,0.01,3,1
5135,99,0.5805088631885487,0.2892655383846837,KNN Imputation,0.85,most_frequent,all,rbf,0.01,4,10
74,100,0.5807255409048225,0.16031759797704867,No Imputation,0.85,mean,wk_10,poly,100,6,1000
4641,101,0.5812285414627331,0.20398259132678076,KNN Imputation,0.8,median,all,rbf,0.01,6,1
4379,102,0.5815825994462944,0.19540139555748284,KNN Imputation,0.6,median,all,rbf,0.01,3,0.1
9222,103,0.5818413739406914,0.19595784849916198,KNN Imputation,0.85,median,all,rbf,0.01,3,1
9103,104,0.5828874010742437,0.26849754940075554,No Imputation,0.85,most_frequent,all,rbf,0.01,4,10
2061,105,0.5829629029675599,0.13713421822590185,No Imputation,0.95,mean,wk_10,poly,0.01,6,10
3381,106,0.5833509524576838,0.14985856213911844,No Imputation,0.95,most_frequent,all,rbf,0.01,6,10
1161,107,0.583829301295408,0.21854642777428704,KNN Imputation,0.7,most_frequent,wk_10,poly,10,2,10
6535,108,0.5840262818390385,0.15904059884948618,No Imputation,0.85,mean,all,rbf,0.01,2,1
3051,109,0.5843628174995535,0.18662987464060796,No Imputation,0.7,most_frequent,all,rbf,0.01,4,100
8071,110,0.5847372960526844,0.13150454934809,No Imputation,0.85,most_frequent,wk_10,poly,1,5,1
4322,111,0.5850398310631371,0.16384684119791884,KNN Imputation,0.85,most_frequent,all,rbf,0.01,2,0.1
4814,112,0.5851084432041735,0.2824288880347575,No Imputation,0.7,most_frequent,all,rbf,0.01,5,1000
7911,113,0.5858402706383543,0.17581598841872095,KNN Imputation,0.9,median,wk_10,poly,100,2,1
2581,114,0.5863018310597485,0.06210472765972188,No Imputation,0.8,most_frequent,wk_9_10,poly,0.01,6,1000
8550,115,0.5863949378936566,0.2902012644252129,No Imputation,0.85,most_frequent,all,rbf,0.01,4,100
9734,116,0.5870452962779054,0.2421762012307418,KNN Imputation,0.6,mean,all,rbf,0.01,5,100
7519,117,0.5875230317249731,0.2083483537833469,KNN Imputation,0.95,most_frequent,all,rbf,0.01,3,100
348,118,0.5879645133544935,0.19439090678358922,No Imputation,0.95,most_frequent,all,rbf,0.01,5,10
7184,119,0.588221376018462,0.2279321449924632,No Imputation,0.7,mean,all,rbf,0.01,3,1000
1095,120,0.5886359042872227,0.2793717832737771,No Imputation,0.7,median,all,rbf,0.01,6,1000
7372,121,0.5888846949351455,0.16309821242930014,KNN Imputation,0.95,most_frequent,all,rbf,0.01,4,0.01
